pathway,selected_representative,is_representative,jaccard_to_representative,shared_genes_with_representative
Downregulation of SMAD2/3:SMAD4 transcriptional activity,Downregulation of SMAD2/3:SMAD4 transcriptional activity,True,1.0,27
Activation of RAC1,Activation of RAC1,True,1.0,11
Interleukin-1 family signaling,Toll Like Receptor 9 (TLR9) Cascade,False,0.304635761589404,46
Activation of NF-kappaB in B cells,Vif-mediated degradation of APOBEC3G,False,0.6470588235294118,33
Gap junction assembly,Gap junction trafficking and regulation,False,0.48,12
Metalloprotease DUBs,Metalloprotease DUBs,True,1.0,16
Degradation of beta-catenin by the destruction complex,Vif-mediated degradation of APOBEC3G,False,0.5076923076923077,33
RMTs methylate histone arginines,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,False,0.2619047619047619,11
Mitotic Prometaphase,RHO GTPases Activate Formins,False,0.4764705882352941,81
Downregulation of ERBB2:ERBB3 signaling,Downregulation of ERBB2:ERBB3 signaling,True,1.0,12
Transport of the SLBP Dependant Mature mRNA,NS1 Mediated Effects on Host Pathways,False,0.627906976744186,27
Cellular response to hypoxia,Vif-mediated degradation of APOBEC3G,False,0.6938775510204082,34
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Base Excision Repair,False,0.4634146341463415,19
CRMPs in Sema3A signaling,CRMPs in Sema3A signaling,True,1.0,16
RNA Polymerase I Promoter Escape,NoRC negatively regulates rRNA expression,False,0.4418604651162791,19
"Cell death signalling via NRAGE, NRIF and NADE",NRAGE signals death through JNK,False,0.7678571428571429,43
Nuclear Pore Complex (NPC) Disassembly,NS1 Mediated Effects on Host Pathways,False,0.6428571428571429,27
Chromosome Maintenance,Chromosome Maintenance,True,1.0,77
Interaction of NuRD complexes with transcription factors,Transcriptional regulation of brown and beige adipocyte differentiation,False,0.2894736842105263,11
Regulation of beta-cell development,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,False,0.6190476190476191,13
G1/S Transition,Vif-mediated degradation of APOBEC3G,False,0.3113207547169811,33
Transport of Ribonucleoproteins into the Host Nucleus,NS1 Mediated Effects on Host Pathways,False,0.7368421052631579,28
Keratan sulfate/keratin metabolism,Keratan sulfate/keratin metabolism,True,1.0,26
"Transport of vitamins, nucleosides, and related molecules","Transport of vitamins, nucleosides, and related molecules",True,1.0,22
Signaling by Retinoic Acid,Signaling by Retinoic Acid,True,1.0,31
"Inactivation, recovery and regulation of the phototransduction cascade","Inactivation, recovery and regulation of the phototransduction cascade",True,1.0,21
Disorders of Developmental Biology,Disorders of Developmental Biology,True,1.0,17
APC/C:Cdc20 mediated degradation of Cyclin B,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.34285714285714286,12
NOTCH2 Activation and Transmission of Signal to the Nucleus,NRIF signals cell death from the nucleus,False,0.42857142857142855,9
Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade,True,1.0,13
Telomere Maintenance,Chromosome Maintenance,False,0.7142857142857143,55
Regulation of pyruvate metabolism,Regulation of pyruvate metabolism,True,1.0,31
rRNA modification in the mitochondrion,rRNA processing in the mitochondrion,False,0.7857142857142857,11
tRNA processing,tRNA modification in the nucleus and cytosol,False,0.3673469387755102,36
Formation of the Early Elongation Complex,Formation of TC-NER Pre-Incision Complex,False,0.37037037037037035,20
Formation of the HIV-1 Early Elongation Complex,Formation of TC-NER Pre-Incision Complex,False,0.37037037037037035,20
Extension of Telomeres,Chromosome Maintenance,False,0.5256410256410257,41
Co-inhibition by CTLA4,Platelet sensitization by LDL,False,0.34782608695652173,8
Olfactory Signaling Pathway,Olfactory Signaling Pathway,True,1.0,19
Regulation of FZD by ubiquitination,Regulation of FZD by ubiquitination,True,1.0,17
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases","PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",True,1.0,13
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),NS1 Mediated Effects on Host Pathways,False,0.675,27
Regulation of Glucokinase by Glucokinase Regulatory Protein,NS1 Mediated Effects on Host Pathways,False,0.675,27
RNA Polymerase III Abortive And Retractive Initiation,RNA Polymerase III Abortive And Retractive Initiation,True,1.0,33
RNA Polymerase III Transcription,RNA Polymerase III Abortive And Retractive Initiation,False,1.0,33
IRAK1 recruits IKK complex,Regulation of NF-kappa B signaling,False,0.36363636363636365,8
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,Regulation of NF-kappa B signaling,False,0.36363636363636365,8
Formation of the dystrophin-glycoprotein complex (DGC),Formation of the dystrophin-glycoprotein complex (DGC),True,1.0,29
DCC mediated attractive signaling,DCC mediated attractive signaling,True,1.0,12
Suppression of phagosomal maturation,Response of Mtb to phagocytosis,False,0.5,10
IP3 and IP4 transport between cytosol and nucleus,NS1 Mediated Effects on Host Pathways,False,0.7105263157894737,27
IP6 and IP7 transport between cytosol and nucleus,NS1 Mediated Effects on Host Pathways,False,0.7105263157894737,27
IPs transport between nucleus and cytosol,NS1 Mediated Effects on Host Pathways,False,0.7105263157894737,27
"TICAM1, RIP1-mediated IKK complex recruitment",Regulation of NF-kappa B signaling,False,0.3076923076923077,8
Calnexin/calreticulin cycle,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,False,0.6875,22
STING mediated induction of host immune responses,STING mediated induction of host immune responses,True,1.0,12
Aggrephagy,Autophagy,False,0.2540983606557377,31
Peroxisomal protein import,Protein localization,False,0.33884297520661155,41
Phosphorylation and nuclear translocation of the CRY:PER:kinase complex,"Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters",False,0.2777777777777778,5
tRNA modification in the mitochondrion,tRNA modification in the mitochondrion,True,1.0,10
The phototransduction cascade,"Inactivation, recovery and regulation of the phototransduction cascade",False,0.9545454545454546,21
Abortive elongation of HIV-1 transcript in the absence of Tat,Abortive elongation of HIV-1 transcript in the absence of Tat,True,1.0,19
Transcription of E2F targets under negative control by DREAM complex,G0 and Early G1,False,0.6666666666666666,14
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),Removal of the Flap Intermediate,False,0.35294117647058826,6
Transport of the SLBP independent Mature mRNA,NS1 Mediated Effects on Host Pathways,False,0.627906976744186,27
Formation of RNA Pol II elongation complex,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.36363636363636365,16
RNA Polymerase II Transcription Elongation,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.36363636363636365,16
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,TP53 Regulates Transcription of Cell Death Genes,False,0.42105263157894735,16
Inhibition of DNA recombination at telomere,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.46153846153846156,12
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",TICAM1-dependent activation of IRF3/IRF7,False,0.6470588235294118,11
Protein hydroxylation,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",False,0.36363636363636365,16
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Defective Intrinsic Pathway for Apoptosis,False,0.85,17
Neurodegenerative Diseases,Defective Intrinsic Pathway for Apoptosis,False,0.85,17
RAS processing,RAS processing,True,1.0,19
Diseases of branched-chain amino acid catabolism,Diseases of branched-chain amino acid catabolism,True,1.0,12
HIV elongation arrest and recovery,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.4838709677419355,15
Pausing and recovery of HIV elongation,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.4838709677419355,15
Pausing and recovery of Tat-mediated HIV elongation,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.5,15
Tat-mediated HIV elongation arrest and recovery,Abortive elongation of HIV-1 transcript in the absence of Tat,False,0.5,15
Somatic hypermutation of immunoglobulin genes by error-prone base excision repair (BER),Termination of translesion DNA synthesis,False,0.37142857142857144,13
Signaling by cytosolic FGFR1 fusion mutants,Signaling by cytosolic FGFR1 fusion mutants,True,1.0,16
Signaling by WNT in cancer,Beta-catenin phosphorylation cascade,False,0.3793103448275862,11
